admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Ghulam Khan,PK23604,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 27,171 "
Gichk,PK72401,Panjgur,PK724,Balochistan,PK7,Pakistan,PK," 16,501 "
Gojra,PK63501,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK," 656,007 "
Gujar Khan,PK63001,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 678,503 "
Gujranwala,PK60901,Gujranwala,PK609,Punjab,PK6,Pakistan,PK," 3,066,610 "
Gujrat,PK61001,Gujrat,PK610,Punjab,PK6,Pakistan,PK," 1,497,865 "
Gwadar,PK70601,Gwadar,PK706,Balochistan,PK7,Pakistan,PK," 149,400 "
Hafizabad,PK61101,Hafizabad,PK611,Punjab,PK6,Pakistan,PK," 663,735 "
Hala,PK81101,Matiari,PK811,Sindh,PK8,Pakistan,PK," 428,672 "
Halimzai,PK23502,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 78,749 "
Hangu,PK20801,Hangu,PK208,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 270,295 "
Haripur,PK20902,Haripur,PK209,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 857,664 "
Harnai,PK70701,Harnai,PK707,Balochistan,PK7,Pakistan,PK," 97,017 "
Haroonabad,PK60204,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK," 525,598 "
Hasilpur,PK60302,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK," 456,006 "
Hassan Abdal,PK60103,Attock,PK601,Punjab,PK6,Pakistan,PK," 216,566 "
Hassan Khel,PK24301,FR Peshawar,PK243,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 64,691 "
Hazro,PK60104,Attock,PK601,Punjab,PK6,Pakistan,PK," 339,238 "
Hub,PK71804,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 203,020 "
Hyderabad,PK80401,Hyderabad,PK804,Sindh,PK8,Pakistan,PK," 466,770 "
Hyderabad City,PK80404,Hyderabad,PK804,Sindh,PK8,Pakistan,PK," 755,290 "
Isakhel,PK62101,Mianwali,PK621,Punjab,PK6,Pakistan,PK," 375,026 "
Islamabad,PK50101,Islamabad,PK501,Federal Capital Territory,PK5,Pakistan,PK," 2,006,572 "
Ismailzai,PK23702,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 23,965 "
Jacobabad,PK80502,Jacobabad,PK805,Sindh,PK8,Pakistan,PK," 382,513 "
Jahanian,PK61501,Khanewal,PK615,Punjab,PK6,Pakistan,PK," 343,361 "
Jalalpur Pirwala,PK62201,Multan,PK622,Punjab,PK6,Pakistan,PK," 554,152 "
Jampur,PK62902,Rajanpur,PK629,Punjab,PK6,Pakistan,PK," 849,086 "
Jamrud,PK23302,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 228,001 "
Jan Nawaz Ali,PK81401,Sanghar,PK814,Sindh,PK8,Pakistan,PK," 153,342 "
Jand,PK60105,Attock,PK601,Punjab,PK6,Pakistan,PK," 295,483 "
Jandola,PK24401,FR Tank,PK244,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 36,389 "
Jaranwala,PK60804,Faisalabad,PK608,Punjab,PK6,Pakistan,PK," 1,492,276 "
Jati,PK82401,Sujawal,PK824,Sindh,PK8,Pakistan,PK," 202,299 "
Jatoi,PK62302,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK," 714,576 "
Jhal Jao,PK70102,Awaran,PK701,Balochistan,PK7,Pakistan,PK," 40,033 "
Jhal Magsi,PK70902,Jhal Magsi,PK709,Balochistan,PK7,Pakistan,PK," 88,575 "
Jhang,PK61202,Jhang,PK612,Punjab,PK6,Pakistan,PK," 1,761,273 "
Jhat Pat,PK70802,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK," 252,611 "
Jhelum,PK61302,Jhelum,PK613,Punjab,PK6,Pakistan,PK," 445,190 "
Jhuddo,PK81202,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK," 202,228 "
Jiwani,PK70602,Gwadar,PK706,Balochistan,PK7,Pakistan,PK," 26,991 "
Johi,PK80202,Dadu,PK802,Sindh,PK8,Pakistan,PK," 294,848 "
Kabal,PK22205,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 420,374 "
Kabirwala,PK61502,Khanewal,PK615,Punjab,PK6,Pakistan,PK," 959,861 "
Kahan,PK71701,Kohlu,PK717,Balochistan,PK7,Pakistan,PK," 73,981 "
Kahror Pacca,PK61902,Lodhran,PK619,Punjab,PK6,Pakistan,PK," 500,939 "
Kahuta,PK63002,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 220,576 "
Kairpur Tamewali,PK60303,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK," 262,628 "
Kakar Khurasan,PK73001,Zhob,PK730,Balochistan,PK7,Pakistan,PK," 56,912 "
Kalam,PK22206,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 149,084 "
Kalat,PK71001,Kalat,PK710,Balochistan,PK7,Pakistan,PK," 211,480 "
Kalkot,PK23003,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 131,873 "
Kallar Kahar,PK60503,Chakwal,PK605,Punjab,PK6,Pakistan,PK," 169,660 "
Kallar Sayedan,PK63003,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 217,273 "
Kalurkot,PK60403,Bhakkar,PK604,Punjab,PK6,Pakistan,PK," 347,552 "
Kamalia,PK63502,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK," 371,851 "
Kambar Ali Khan,PK81501,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK," 395,206 "
Kamoke,PK60902,Gujranwala,PK609,Punjab,PK6,Pakistan,PK," 581,444 "
Kan Mehtarzai,PK71602,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK," 33,240 "
Kandiaro,PK81302,Naushahro Feroze,PK813,Sindh,PK8,Pakistan,PK," 446,079 "
Kanhdkot,PK80801,Kashmore,PK808,Sindh,PK8,Pakistan,PK," 366,484 "
Kanraj,PK71805,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 12,387 "
Karachi Central,PK80703,Karachi City,PK807,Sindh,PK8,Pakistan,PK," 2,971,626 "
Karachi East,PK80705,Karachi City,PK807,Sindh,PK8,Pakistan,PK," 5,364,486 "
Karachi South,PK80704,Karachi City,PK807,Sindh,PK8,Pakistan,PK," 1,791,751 "
Karachi West,PK80702,Karachi City,PK807,Sindh,PK8,Pakistan,PK," 3,914,757 "
Karak,PK21002,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 293,520 "
Karezat,PK72502,Pishin,PK725,Balochistan,PK7,Pakistan,PK," 138,280 "
Karor Lal Esan,PK61802,Layyah,PK618,Punjab,PK6,Pakistan,PK," 594,639 "
Kashmore,PK80802,Kashmore,PK808,Sindh,PK8,Pakistan,PK," 434,975 "
Kasur,PK61402,Kasur,PK614,Punjab,PK6,Pakistan,PK," 1,694,983 "
Katlang,PK21701,Mardan,PK217,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 343,144 "
Kazi Ahmed,PK81602,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK," 348,702 "
Kech,PK71204,Kech,PK712,Balochistan,PK7,Pakistan,PK," 469,344 "
Keti Bander,PK82203,Thatta,PK822,Sindh,PK8,Pakistan,PK," 58,832 "
Khairpur,PK80903,Khairpur,PK809,Sindh,PK8,Pakistan,PK," 439,563 "
Khairpur Nathan Shah,PK80203,Dadu,PK802,Sindh,PK8,Pakistan,PK," 334,258 "
Khanewal,PK61503,Khanewal,PK615,Punjab,PK6,Pakistan,PK," 856,793 "
Khangarh,PK80303,Ghotki,PK803,Sindh,PK8,Pakistan,PK," 149,008 "
Khanpur (Rahim Yar Khan),PK62801,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK," 983,415 "
Khanpur (Shikarpur),PK81702,Shikarpur,PK817,Sindh,PK8,Pakistan,PK," 276,283 "
Khar,PK23203,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 247,510 "
Kharan,PK71301,Kharan,PK713,Balochistan,PK7,Pakistan,PK," 156,152 "
Kharian,PK61002,Gujrat,PK610,Punjab,PK6,Pakistan,PK," 1,010,912 "
Kharochan,PK82402,Sujawal,PK824,Sindh,PK8,Pakistan,PK," 10,235 "
Khipro,PK81402,Sanghar,PK814,Sindh,PK8,Pakistan,PK," 333,284 "
Khushab,PK61601,Khushab,PK616,Punjab,PK6,Pakistan,PK," 807,684 "
Khuzdar,PK71401,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK," 354,797 "
Khwazakhela,PK22207,Swat,PK222,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 265,571 "
Killa Abdullah,PK71502,Killa Abdullah,PK715,Balochistan,PK7,Pakistan,PK," 262,087 "
Killa Saifullah,PK71603,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK," 132,264 "
Kingri,PK80904,Khairpur,PK809,Sindh,PK8,Pakistan,PK," 340,218 "
Kohat,PK21101,Kohat,PK211,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 850,336 "
Kohlu,PK71702,Kohlu,PK717,Balochistan,PK7,Pakistan,PK," 98,743 "
Kot Addu,PK62303,Muzaffargarh,PK623,Punjab,PK6,Pakistan,PK," 1,345,941 "
Kot Diji,PK80905,Khairpur,PK809,Sindh,PK8,Pakistan,PK," 348,899 "
Kot Ghulam Muhammad,PK81203,Mirpur Khas,PK812,Sindh,PK8,Pakistan,PK," 273,193 "
Kot Momin,PK63202,Sargodha,PK632,Punjab,PK6,Pakistan,PK," 453,562 "
Kotli Sattian,PK63004,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 119,312 "
Kotri,PK80601,Jamshoro,PK806,Sindh,PK8,Pakistan,PK," 437,561 "
Kulachi,PK20703,Dera Ismail Khan,PK207,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 101,854 "
Kunri,PK82301,Umerkot,PK823,Sindh,PK8,Pakistan,PK," 218,493 "
Kut Mandai,PK72801,Sibi,PK728,Balochistan,PK7,Pakistan,PK," 7,587 "
Lachi,PK21102,Kohat,PK211,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 143,538 "
Ladha,PK23802,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 114,830 "
Lahor,PK22101,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 598,136 "
Lahore Cantt,PK61701,Lahore,PK617,Punjab,PK6,Pakistan,PK," 4,334,577 "
Lahore City,PK61702,Lahore,PK617,Punjab,PK6,Pakistan,PK," 6,791,708 "
Lakhi,PK81703,Shikarpur,PK817,Sindh,PK8,Pakistan,PK," 248,143 "
Lakhra,PK71806,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 35,522 "
Lakki Marwat,PK21301,Lakki Marwat,PK213,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 579,274 "
Landi Kotal,PK23303,Khyber,PK233,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 314,569 "
Larkana,PK81003,Larkana,PK810,Sindh,PK8,Pakistan,PK," 738,069 "
Latifabad,PK80403,Hyderabad,PK804,Sindh,PK8,Pakistan,PK," 672,504 "
Layyah,PK61803,Layyah,PK618,Punjab,PK6,Pakistan,PK," 977,391 "
Lehri,PK73202,Lehri,PK732,Balochistan,PK7,Pakistan,PK," 44,427 "
Liaquatpur,PK62802,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK," 1,035,509 "
Liari,PK71807,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 11,766 "
Lodhran,PK61903,Lodhran,PK619,Punjab,PK6,Pakistan,PK," 704,668 "
Loi Band,PK71604,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK," 28,061 "
