admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode, Total_pop 
Quetta City,PK72601,Quetta,PK726,Balochistan,PK7,Pakistan,PK," 2,254,973 "
Rahim Yar Khan,PK62803,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK," 1,530,330 "
Rajanpur,PK62903,Rajanpur,PK629,Punjab,PK6,Pakistan,PK," 706,868 "
Ratodero,PK81004,Larkana,PK810,Sindh,PK8,Pakistan,PK," 331,584 "
Rawalpindi,PK63006,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 3,258,547 "
Razmak,PK23607,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 17,629 "
Renala Khurd,PK62603,Okara,PK626,Punjab,PK6,Pakistan,PK," 458,572 "
Rohri,PK81802,Sukkur,PK818,Sindh,PK8,Pakistan,PK," 371,104 "
Rojhan,PK62904,Rajanpur,PK629,Punjab,PK6,Pakistan,PK," 405,774 "
Sadiqabad,PK62804,Rahim Yar Khan,PK628,Punjab,PK6,Pakistan,PK," 1,264,752 "
Safdarabad,PK62402,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK," 272,500 "
Safi,PK23505,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 99,114 "
Sahiwal (Sahiwal),PK63102,Sahiwal,PK631,Punjab,PK6,Pakistan,PK," 1,491,553 "
Sahiwal (Sardogha),PK63203,Sargodha,PK632,Punjab,PK6,Pakistan,PK," 656,395 "
Sakrand,PK81604,Shaheed Benazirabad,PK816,Sindh,PK8,Pakistan,PK," 372,875 "
Salarzai Tehsil,PK23206,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 268,517 "
Salehpat,PK81803,Sukkur,PK818,Sindh,PK8,Pakistan,PK," 129,619 "
Sam Ranizai,PK21501,Malakand PA,PK215,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 304,112 "
Samar Bagh,PK21401,Lower Dir,PK214,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 378,608 "
Samaro,PK82303,Umerkot,PK823,Sindh,PK8,Pakistan,PK," 170,288 "
Sambrial,PK63403,Sialkot,PK634,Punjab,PK6,Pakistan,PK," 411,200 "
Sangan,PK72803,Sibi,PK728,Balochistan,PK7,Pakistan,PK," 2,665 "
Sanghar,PK81403,Sanghar,PK814,Sindh,PK8,Pakistan,PK," 434,087 "
Sangla Hill,PK62403,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK," 227,630 "
Sanni,PK71103,Kachhi,PK711,Balochistan,PK7,Pakistan,PK," 111,290 "
Sarai Alamgir,PK61003,Gujrat,PK610,Punjab,PK6,Pakistan,PK," 247,333 "
Sarai Naurang,PK21302,Lakki Marwat,PK213,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 296,908 "
Sararogha,PK23804,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 98,389 "
Sargodha,PK63204,Sargodha,PK632,Punjab,PK6,Pakistan,PK," 1,537,866 "
Sehwan,PK80602,Jamshoro,PK806,Sindh,PK8,Pakistan,PK," 269,291 "
Serwekai,PK23805,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 54,278 "
Shah Bander,PK82404,Sujawal,PK824,Sindh,PK8,Pakistan,PK," 159,887 "
Shahdadkot,PK81503,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK," 202,745 "
Shahdadpur,PK81404,Sanghar,PK814,Sindh,PK8,Pakistan,PK," 457,551 "
Shaheed Fazal Rahu,PK80103,Badin,PK801,Sindh,PK8,Pakistan,PK," 506,951 "
Shahkot,PK62404,Nankana Sahib,PK624,Punjab,PK6,Pakistan,PK," 244,868 "
Shahpur,PK63205,Sargodha,PK632,Punjab,PK6,Pakistan,PK," 353,969 "
Shakargarh,PK62502,Narowal,PK625,Punjab,PK6,Pakistan,PK," 893,708 "
Sharqpur,PK63303,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK," 197,220 "
Sheerani,PK72701,Sheerani,PK727,Balochistan,PK7,Pakistan,PK," 153,116 "
Sheikhupura,PK63304,Sheikhupura,PK633,Punjab,PK6,Pakistan,PK," 1,555,424 "
Shewa,PK23608,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 39,349 "
Shikarpur,PK81704,Shikarpur,PK817,Sindh,PK8,Pakistan,PK," 391,172 "
Shinkai,PK71606,Killa Saifullah,PK716,Balochistan,PK7,Pakistan,PK," 55,351 "
Shorkot,PK61203,Jhang,PK612,Punjab,PK6,Pakistan,PK," 548,626 "
Shuabad,PK62204,Multan,PK622,Punjab,PK6,Pakistan,PK," 609,631 "
Sialkot,PK63404,Sialkot,PK634,Punjab,PK6,Pakistan,PK," 1,794,658 "
Sibi,PK72804,Sibi,PK728,Balochistan,PK7,Pakistan,PK," 125,320 "
Sillanwali,PK63206,Sargodha,PK632,Punjab,PK6,Pakistan,PK," 344,465 "
Sinjawi,PK73101,Ziarat,PK731,Balochistan,PK7,Pakistan,PK," 92,561 "
Sinjhoro,PK81405,Sanghar,PK814,Sindh,PK8,Pakistan,PK," 320,874 "
Sobodhero,PK80908,Khairpur,PK809,Sindh,PK8,Pakistan,PK," 274,428 "
Sohawa,PK61304,Jhelum,PK613,Punjab,PK6,Pakistan,PK," 201,948 "
Sohbatpur,PK73301,Sohbatpur,PK733,Balochistan,PK7,Pakistan,PK," 200,538 "
Sonmiani,PK71808,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 64,392 "
Spinwam,PK23609,North Waziristan,PK236,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 46,183 "
Sui,PK70503,Dera Bugti,PK705,Balochistan,PK7,Pakistan,PK," 137,950 "
Sujawal,PK82405,Sujawal,PK824,Sindh,PK8,Pakistan,PK," 198,587 "
Sukkur,PK81804,Sukkur,PK818,Sindh,PK8,Pakistan,PK," 551,357 "
Summundari,PK60805,Faisalabad,PK608,Punjab,PK6,Pakistan,PK," 643,068 "
Surab,PK71002,Kalat,PK710,Balochistan,PK7,Pakistan,PK," 200,752 "
Swabi,PK22102,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 698,180 "
Swat Ranizai,PK21502,Malakand PA,PK215,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 416,183 "
Taftan,PK70403,Chagai,PK704,Balochistan,PK7,Pakistan,PK," 18,510 "
Takht Bhai,PK21703,Mardan,PK217,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 626,523 "
Takht E Nasrati,PK21003,Karak,PK210,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 257,137 "
Talagang,PK60504,Chakwal,PK605,Punjab,PK6,Pakistan,PK," 527,500 "
Tall,PK20802,Hangu,PK208,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 248,503 "
Tamboo,PK72204,Nasirabad,PK722,Balochistan,PK7,Pakistan,PK," 131,168 "
Tandlianwala,PK60806,Faisalabad,PK608,Punjab,PK6,Pakistan,PK," 702,733 "
Tando Adam,PK81406,Sanghar,PK814,Sindh,PK8,Pakistan,PK," 357,919 "
Tando Allah Yar,PK81901,Tando Allah Yar,PK819,Sindh,PK8,Pakistan,PK," 836,887 "
Tando Bago,PK80104,Badin,PK801,Sindh,PK8,Pakistan,PK," 398,858 "
Tando Ghulam Hyder,PK82002,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK," 184,653 "
Tando Muhammad Khan,PK82001,Tando Muhammad Khan,PK820,Sindh,PK8,Pakistan,PK," 255,662 "
Tangi,PK20502,Charsadda,PK205,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 428,239 "
Tangwani,PK80803,Kashmore,PK808,Sindh,PK8,Pakistan,PK," 287,710 "
Tank,PK22901,Tank,PK229,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 391,885 "
Taunsa,PK60703,Dera Ghazi Khan,PK607,Punjab,PK6,Pakistan,PK," 675,756 "
Taxila,PK63007,Rawalpindi,PK630,Punjab,PK6,Pakistan,PK," 677,951 "
Thano Bula Khan,PK80603,Jamshoro,PK806,Sindh,PK8,Pakistan,PK," 145,450 "
Thatta,PK82209,Thatta,PK822,Sindh,PK8,Pakistan,PK," 406,063 "
Thul,PK80503,Jacobabad,PK805,Sindh,PK8,Pakistan,PK," 465,424 "
Tiarza,PK23806,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 45,210 "
Timergara,PK21402,Lower Dir,PK214,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 1,057,309 "
Toba Tek Singh,PK63503,Toba Tek Singh,PK635,Punjab,PK6,Pakistan,PK," 1,162,157 "
Toi Khulla,PK23807,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 50,593 "
Topi,PK22103,Swabi,PK221,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 328,300 "
Tor Ghar,PK23101,Tor Ghar,PK231,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 171,395 "
Totalai,PK20406,Buner,PK204,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 59,092 "
Tump,PK71206,Kech,PK712,Balochistan,PK7,Pakistan,PK," 146,286 "
Ubauro,PK80305,Ghotki,PK803,Sindh,PK8,Pakistan,PK," 353,289 "
Umerkot,PK82304,Umerkot,PK823,Sindh,PK8,Pakistan,PK," 564,394 "
Upper Kurram,PK23403,Kurram,PK234,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 253,478 "
Upper Momand,PK23506,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 51,068 "
Upper Orakzai,PK23704,Orakzai,PK237,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 63,872 "
Usta Muhammad,PK70804,Jaffarabad,PK708,Balochistan,PK7,Pakistan,PK," 186,226 "
Uthal,PK71809,Las Bela,PK718,Balochistan,PK7,Pakistan,PK," 72,526 "
Utman Khel Tehsil,PK23207,Bajaur,PK232,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 107,356 "
Vehari,PK63603,Vehari,PK636,Punjab,PK6,Pakistan,PK," 928,166 "
Wadh,PK71403,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK," 176,039 "
Wana,PK23808,South Waziristan,PK238,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 152,881 "
Warah,PK81504,Qambar Shahdadkot,PK815,Sindh,PK8,Pakistan,PK," 229,971 "
Wari,PK23004,Upper Dir,PK230,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 321,807 "
Washuk,PK72904,Washuk,PK729,Balochistan,PK7,Pakistan,PK," 35,244 "
Wazir,PK23901,FR Bannu,PK239,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 43,114 "
Wazirabad,PK60904,Gujranwala,PK609,Punjab,PK6,Pakistan,PK," 830,396 "
Yaka Ghund,PK23507,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK," 52,291 "
Yazman,PK60304,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK," 614,143 "
Zehri,PK71404,Khuzdar,PK714,Balochistan,PK7,Pakistan,PK," 102,129 "
Zhob,PK73002,Zhob,PK730,Balochistan,PK7,Pakistan,PK," 253,632 "
Ziarat,PK73102,Ziarat,PK731,Balochistan,PK7,Pakistan,PK," 67,861 "
,,,,,,,,
,,,,,,,,
